file_name,title,extracted_matches,match_count,extracted_matches_context,cleaned_matches_context,cleaned_match_count
Fontane_Theodor_Cecile.txt,Cécile,"[('»Lieber Pierre', 28539), ('»Lieber Freund', 310101), ('15. Juli', 202016), ('4. Oktober', 249216), ('4. Oktober', 250195), ('4. Oktober', 266501), ('2. Dezember', 266541), ('2. Dezember', 267536), ('4. Dezember', 350224)]",9,"[('»Lieber Pierre«, sagte sie dann mit sich rasch belebender Stimme, »du bittest Herrn von Gordon um se', 28539), ('»Lieber Freund. Es geht nicht so weiter. Seit dem Tage, wo wir das kleine Diner hatten, sind Sie ver', 310101), ('15. Juli. Wegen des neuen Kabels abgeschlossen. Wir erwarten Sie morgen.« Eine Welt widerstreitender', 202016), ('4. Oktober zu einem Mittagessen einzuladen. 5 Uhr. Im Überrock. U.A.w.g.« Gordon nahm an und war nic', 249216), ('4. Oktober da. Gordon, so pünktlich er erschien, fand alle Geladenen, unter denen der Hofprediger le', 250195), ('4. Oktober« dem »General St. Arnaud des 2. Dezember« gegenübergestellt und in Cécile die Lichtgestal', 266501), ('2. Dezember« gegenübergestellt und in Cécile die Lichtgestalt, die den Unterschied zwischen beiden b', 266541), ('2. Dezember« gehalten hatte – noch einmal in der St.-Arnaud-Frage das Wort und sagte, während er den', 267536), ('4. Dezember Meine liebe Cécile! Was geschehen ist, wirst Du mittlerweile durch Rossow erfahren haben', 350224)]","[('»Lieber Pierre«, sagte sie dann mit sich rasch belebender Stimme, »du bittest Herrn von Gordon um se', 28539), ('»Lieber Freund. Es geht nicht so weiter. Seit dem Tage, wo wir das kleine Diner hatten, sind Sie ver', 310101)]",2
Hollaender_Felix_Die_Briefe_des_Fraeulein.txt,Die Briefe des Fräulein Brandt,"[('»Liebes Kind', 57567), ('Teuerster wird', 166840), ('7. Juni 1914', 42), ('4. Juni', 2470), ('11. Juni', 2892), ('13. Juni', 7926), ('14. Juni', 18196), ('16. Juni', 24052), ('22. Juni', 54240), ('24. Juni', 59020), ('25. Juni', 63023), ('29. Juni', 74270), ('30. Juni', 81727), ('1. Juli', 83000), ('3. Juli', 91970), ('4. Juli', 128368), ('9. Juli', 175174), ('11. Juli', 182493), ('14. Juli', 187427), ('19. Juli', 195560), ('24. Juli', 204848), ('25. Juli', 215991), ('26. Juli', 216687), ('26. Juli', 219063), ('28. Juli', 232030), ('18. August', 269764), ('31. Juli', 271137), ('1. August', 271150)]",28,"[('»Liebes Kind,« antworte ich trocken, »du bist auf dem Holzwege. Verlaß dich in dieser Sache lediglic', 57567), ('Teuerster wird er sagen« … In diesem Augenblick trat Herr von Rechlin über die Schwelle. Dem Musikan', 166840), ('7. Juni 1914. Liebes Herz! Beim Abschied hast Du mir halb und halb das Wort abgenommen, Dir über all', 42), ('4. Juni lautet: Wir sind bei verhängtem Himmel angekommen. Alles undurchsichtbar, in undurchdringlic', 2470), ('11. Juni. Die Baude hat sich bevölkert. Ein Finanzrat von Wehlen aus Berlin und ein Kreisphysikus We', 2892), ('13. Juni. Diese Misere eines bürgerlichen Offiziersdaseins wird trotz allem, was darüber in der Öffe', 7926), ('14. Juni. Aller Augen sind spannungsvoll auf mich gerichtet. Leutnant von Borck hat mir geschrieben,', 18196), ('16. Juni. Die Sonne hat die Berge durchglüht, und ich liege auf der Wiese und blicke in den klaren Ä', 24052), ('22. Juni. Herr von Wehlen zwingt mich/ ihn anzuhören. Er dämpft alles Gefühlsmäßige ab, er benimmt s', 54240), ('24. Juni. Ich zerbreche mir den Kopf, wie ich auf eine unzweideutige, schickliche Art Herrn von Wehl', 59020), ('25. Juni. Die Sache mit Herrn von Wehlen ist auf einem toten Punkt angelangt. Ich finde ein paar Zei', 63023), ('29. Juni. Alles, was ich tue, sage und schreibe, ist halb. Ich sehe die Schwächen meiner Umgebung un', 74270), ('30. Juni. Die Jungen sind gekommen und mit ihnen Borck. Blank sind ihre Uniformen, blaß ihre Gesicht', 81727), ('1. Juli. Die Jungen haben ausgezeichnete Manieren. Eine gute Kinderstube bleibt eine gute Angelegenh', 83000), ('3. Juli. Die Gesellschaft ist in corpore nach Flinsberg gegangen; ich bin allein. Ich strecke mich a', 91970), ('4. Juli. Zu Dir muß ich sprechen, in Deine Hundeaugen blicken, den Schlag Deines Herzens spüren, Dei', 128368), ('9. Juli. Nach stundenlangem Regen war die Sonne durch das Gewölk gebrochen. Ich gehe den schmalen We', 175174), ('11. Juli. Herr von Rechlin sitzt mit dem Musikanten weit von uns entfernt am äußersten Tisch des gro', 182493), ('14. Juli. Ich bin mir meiner Unduldsamkeit Mama gegenüber im Innersten bewußt. Sie und Christine, di', 187427), ('19. Juli. Während ich diese Zeilen hinwerfe, ist alles in mir aufgerührt, und die Hand, die schreibe', 195560), ('24. Juli. Drückend heiße Luft. Kein Stäubchen regt sich. Die Iserwiese, meine Iserwiese ist dem Verd', 204848), ('25. Juli. Rechlin und ich sind Freunde, nein, wir sind mehr als Freunde, wir sind Liebende, obwohl k', 215991), ('26. Juli. Rechlin hat mir ins Gewissen geredet. Er sagte zu meinem Schrecken, zwischen ihm und mir s', 216687), ('26. Juli. Rechlins Andeutungen rauben mir den Schlaf. Ich liege in meinen Kissen, und das Dunkel ist', 219063), ('28. Juli, vormittags. Mein Tag ist hell und klar, meine Nacht voll tiefer, satter Ruhe. Die Welt wir', 232030), ('18. August. Ich jage durch die Straßen Berlins. Die Stadt erscheint mir kalt und fremd und widert mi', 269764), ('31. Juli zum 1. August bin ich seine Frau geworden.« Der Untersuchungsrichter sieht mich mit Augen a', 271137), ('1. August bin ich seine Frau geworden.« Der Untersuchungsrichter sieht mich mit Augen an, die an mei', 271150)]","[('Teuerster wird er sagen« … In diesem Augenblick trat Herr von Rechlin über die Schwelle. Dem Musikan', 166840)]",1
Heyse_Paul_Gegen_den_Strom.txt,Gegen den Strom,"[('Geehrten nun', 349367), ('»Mein geliebtes Herz!', 92126), ('Teuerste war,', 272824)]",3,"[('Geehrten nun überreichte. Worauf der alte Mann mit einem leisen Ächzen, da das Stehen ihm großen Sch', 349367), ('»Mein geliebtes Herz! Verzeih, wenn ich Dir keinen ausführlichen Bericht über meine Reise und den Er', 92126), ('Teuerste war, schwer gekränkt fühlten. Nun aber hat sich ja, wie ich soeben von Carus erfuhr, alles ', 272824)]","[('»Mein geliebtes Herz! Verzeih, wenn ich Dir keinen ausführlichen Bericht über meine Reise und den Er', 92126)]",1
Federer_Heinrich_Umbrische_Reisegeschichtlein_San_Benedettos_Dornen.txt,San Benedettos Dornen und San Francescos Rosen,[],0,[],[],0
Groller_Balduin_Detektiv_Dagobert_Eine_teure_Depesche.txt,Eine teure Depesche,[],0,[],[],0
Heyse_Paul_Marienkind.txt,Marienkind,"[('Einzig geliebte', 121859)]",1,"[('Einzig geliebtes Herz!« rief er laut ausbrechend. »Du hast mir das Leben wiedergegeben. Nein, nun ve', 121859)]","[('Einzig geliebtes Herz!« rief er laut ausbrechend. »Du hast mir das Leben wiedergegeben. Nein, nun ve', 121859)]",1
Frobenius_Leo_Das_schwarze_Dekameron_Siga_Sanke.txt,Siga Sanke,[],0,[],[],0
Ganghofer_Ludwig_Auf_der_Wallfahrt.txt,Auf der Wallfahrt,[],0,[],[],0
Janitschek_Maria_Das_kleine_Huendchen.txt,Das kleine Hündchen,"[('»Lieber Bolz', 1223)]",1,"[('»Lieber Bolz, dasselbe was Sie mir sagen, habe ich mir unzähligemale selbst gesagt. Ich habe auch de', 1223)]",[],0
Frapan_Ilse_Thedche_Bolzen.txt,»Thedche Bolzen«,"[('»Lieber Gott', 26037)]",1,"[(""»Lieber Gott,« rief Karoline, »das steckt jetzt schon d'rin, wenn sie nur so groß sind!« Und sie beg"", 26037)]",[],0
